user_entry,information_type,category,element,mapLink,documentLink
msp expert,knowledge base,nature restoration,mpa,"https://viewer.openearth.nl/compendium-greater-north-sea/?folders=143750791,143750761,146750132,146750025,146743026,146742883&layers=168934194,146743135,146750044,146750152,143750774&layerNames=Common%20Database%20of%20Designated%20Areas%20-%20CDDA%20%28INSPIRE%29,Protected%20Sites%20%28INSPIRE%29.,Marine%20Conservation%20Zones%20%28JNCC%29.,Scottish%20Marine%20Protected%20Areas%20%28JNCC%29.,OSPAR%20MPA%202023%20%28OSPAR%29",https://testsysteemrapportage.nl/compendium-greater-north-sea/nature.html#sec-habitats
policy maker,knowledge base,aquaculture,mariculture,"https://viewer.openearth.nl/compendium-greater-north-sea/?folders=144094709,146388827&layers=146388968&layerNames=2019%20Aquaculture%20zones%20in%20the%20Belgian%20Part%20of%20the%20North%20Sea",https://testsysteemrapportage.nl/compendium-greater-north-sea/food_and_fishing.html
